starting new log
CHALLENGE_1GWzWx6zdgyLR4b89gAugoZo2ZoD2w.png, False, (150, -170), 4mx34x, 0x8ex4mx34x, CHALLENGE_1GWzWx6zdgyLR4b89gAugoZo2ZoD2w_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.66000008583, 4.02099990845
CHALLENGE_dFN5G4K6SmnFbOU6UJCivuLJCZgITn.png, False, (120, -180), 3ox2qx, 0x8ex3ox2qx, CHALLENGE_dFN5G4K6SmnFbOU6UJCivuLJCZgITn_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.37599992752, 4.09599995613
CHALLENGE_oFfSewvw3ATp0bw16mDDXnTCVTHtTk.png, False, (130, -150), 42x3ox, 0x8ex42x3ox, CHALLENGE_oFfSewvw3ATp0bw16mDDXnTCVTHtTk_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.36100006104, 4.71000003815
CHALLENGE_2TdKnWocWDQwdpTzAC1st6Cym7bQSJ.png, True, (40, -160), 18x3ex, 0x8ex18x3ex, CHALLENGE_2TdKnWocWDQwdpTzAC1st6Cym7bQSJ_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.79500007629, 4.04199981689
CHALLENGE_iiWJoPKy9t7gC1xlQbNSSZGDXWuLTM.png, False, (140, -150), 4cx3ox, 0x8ex4cx3ox, CHALLENGE_iiWJoPKy9t7gC1xlQbNSSZGDXWuLTM_answer<NUM>.png, jpeg-size-solver-q-10, , [], 5.94999980927, 4.02400016785
CHALLENGE_v0LgmXA31pEKEonX8LfeWv7M46rNxp.png, True, (20, -180), kx2qx, 0x8exkx2qx, CHALLENGE_v0LgmXA31pEKEonX8LfeWv7M46rNxp_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.89899992943, 4.05400013924
CHALLENGE_dHUSTOKO32T5AbaNzX0P4CBR7FlwUg.png, False, (110, -270), 3ex0x, 0x8ex3ex0x, CHALLENGE_dHUSTOKO32T5AbaNzX0P4CBR7FlwUg_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.66799998283, 4.13899993896
CHALLENGE_WIIlQNTHfvOC76RqVKGtcQNqPUlGdB.png, True, (170, -160), 5ax3ex, 0x8ex5ax3ex, CHALLENGE_WIIlQNTHfvOC76RqVKGtcQNqPUlGdB_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.52699995041, 3.97900009155
CHALLENGE_WrfUSSwgz59FfwW2INZsAqiUDgihgD.png, False, (70, -190), 26x2gx, 0x8ex26x2gx, CHALLENGE_WrfUSSwgz59FfwW2INZsAqiUDgihgD_answer<NUM>.png, jpeg-size-solver-q-10, , [], 5.39199995995, 4.1210000515
CHALLENGE_2buAihf4LFWmvfnbXV8ZhOrVK2HQ0C.png, False, (140, -160), 4cx3ex, 0x8ex4cx3ex, CHALLENGE_2buAihf4LFWmvfnbXV8ZhOrVK2HQ0C_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.16300010681, 4.42899990082
CHALLENGE_d3q9AVKD7tiq6uJEGxP2RXO7aQ1fDn.png, False, (120, -190), 3ox2gx, 0x8ex3ox2gx, CHALLENGE_d3q9AVKD7tiq6uJEGxP2RXO7aQ1fDn_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.12600016594, 4.15400004387
CHALLENGE_XnBtGKxrP9Vu613Sz3SNo6XKliifrr.png, True, (30, -270), ux0x, 0x8exux0x, CHALLENGE_XnBtGKxrP9Vu613Sz3SNo6XKliifrr_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.64899992943, 4.03299999237
CHALLENGE_D4R9THe4wwH2U5kZxTCpeVe82PaTHn.png, False, (160, -140), 50x42x, 0x8ex50x42x, CHALLENGE_D4R9THe4wwH2U5kZxTCpeVe82PaTHn_answer<NUM>.png, jpeg-size-solver-q-10, , [], 5.07399988174, 4.28299999237
CHALLENGE_fypHRLz5gt2LdHwZiCT1IqcTNvOzib.png, False, (120, -180), 3ox2qx, 0x8ex3ox2qx, CHALLENGE_fypHRLz5gt2LdHwZiCT1IqcTNvOzib_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.9880001545, 4.22599983215
CHALLENGE_FHBXN8hnxEZVlbbaWLgXOxO9nrM705.png, False, (210, -170), 6ix34x, 0x8ex6ix34x, CHALLENGE_FHBXN8hnxEZVlbbaWLgXOxO9nrM705_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.62199997902, 4.06999993324
CHALLENGE_XsRzZ52O99af8pU3Ktu7M401tpfTKt.png, False, (200, -220), 68x1ix, 0x8ex68x1ix, CHALLENGE_XsRzZ52O99af8pU3Ktu7M401tpfTKt_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.05900001526, 4.20299983025
